Cyclone_Frequency,Depth_m,ClimSST,Country_Name,Distance_to_Shore,Exposure,Turbidity,Bleaching_Level,Temperature_Maximum,SSTA,TSA,Percent_Bleaching,Percent_Cover
47.39,6.0,300.76,Indonesia,301.9,Exposed,0.0849,Colony,305.44,0.1,-0.72,55.0,10.62
47.39,6.0,300.67,Indonesia,194.45,Exposed,0.0442,Colony,305.45,0.12,-0.69,55.0,10.62
47.39,6.0,300.66,Indonesia,51.85,Exposed,0.0849,Colony,305.47,0.19,-0.65,55.0,10.62
49.88,7.0,301.83,Cambodia,180.45,Sheltered,0.1265,Colony,307.01,1.78,1.06,60.0,10.62
48.78,6.0,302.62,Indonesia,1013.58,Sheltered,0.0444,Colony,305.58,1.13,1.09,60.0,10.62
48.32,6.0,303.29,Thailand,136.06,Sheltered,0.1136,Colony,306.6,1.49,1.47,60.0,10.62
49.82,6.0,262.15,Indonesia,885.57,Sheltered,0.0477,Colony,305.1,0.59,0.53,65.0,10.62
49.94,7.0,301.76,Cambodia,90.12,Sheltered,0.1214,Colony,306.94,1.78,0.07,70.0,10.62
47.83,6.0,302.91,Thailand,950.71,Sheltered,0.0685,Colony,306.1,1.55,1.53,70.0,10.62
48.72,6.0,302.53,Thailand,27.65,Sheltered,0.0854,Colony,306.51,2.04,1.85,75.0,10.62
49.97,6.0,303.47,Cambodia,613.17,Sheltered,0.1117,Colony,306.92,1.27,1.19,80.0,10.62
49.97,6.0,303.47,Cambodia,875.93,Sheltered,0.1117,Colony,306.92,1.27,1.19,80.0,10.62
49.88,7.0,302.59,Cambodia,111.11,Sheltered,0.1265,Colony,307.01,2.42,2.35,80.0,10.62
49.94,7.0,301.89,Cambodia,660.61,Sheltered,0.1214,Colony,307.04,1.66,-0.01,80.0,10.62
46.35,6.0,302.85,Indonesia,20.16,Sheltered,0.0508,Colony,306.36,1.62,1.59,80.0,10.62
44.26,12.0,262.15,Philippines,69.33,Sheltered,0.0568,Colony,304.69,0.09,-0.72,80.0,10.62
49.88,6.0,301.83,Cambodia,299.32,Sheltered,0.0888,Colony,307.01,1.78,1.06,82.0,10.62
48.82,6.0,302.97,Malaysia,211.31,Sometimes,0.0988,Colony,306.29,1.63,0.31,85.0,10.62
48.95,6.0,302.88,Malaysia,174.25,Sheltered,0.1068,Colony,305.86,1.59,0.19,85.0,10.62
49.56,25.0,262.15,Malaysia,139.22,Exposed,0.0542,Colony,305.51,0.61,-0.89,85.0,10.62
48.55,6.0,262.15,Thailand,765.56,Sheltered,0.2744,Colony,306.6,1.3,1.3,85.0,10.62
48.4,6.0,303.42,Thailand,200.44,Exposed,0.0936,Colony,306.14,1.82,1.81,85.0,10.62
49.88,7.0,302.59,Cambodia,167.0,Sheltered,0.1265,Colony,307.01,2.42,2.35,90.0,10.62
49.94,7.0,302.63,Cambodia,64.24,Sheltered,0.1214,Colony,306.94,1.35,1.27,90.0,10.62
47.39,20.0,302.5,Indonesia,2434.3,Exposed,0.0493,Colony,305.79,-1.2,-1.74,90.0,10.62
52.8,6.0,302.96,Indonesia,886.55,Sheltered,0.049,Colony,306.07,0.1,0.0,90.0,10.62
56.29,6.0,302.05,Philippines,142.37,Sheltered,0.0495,Colony,311.08,2.05,1.88,90.0,10.62
48.33,6.0,303.55,Thailand,753.83,Sheltered,0.1084,Colony,307.7,0.72,0.71,90.0,10.62
48.49,6.0,303.69,Thailand,2822.55,Sheltered,0.1459,Colony,306.57,1.43,1.44,90.0,10.62
49.88,6.0,302.59,Cambodia,299.32,Sheltered,0.0888,Colony,307.01,2.42,2.35,95.0,10.62
52.93,2.0,302.31,Philippines,1324.8,Exposed,0.1412,Colony,306.77,-0.47,-0.73,95.0,10.62
44.26,12.0,262.15,Philippines,427.77,Exposed,0.0479,Colony,304.69,0.09,-0.72,95.0,10.62
48.23,6.0,303.5,Thailand,538.29,Sheltered,0.0755,Colony,306.11,1.97,1.86,95.0,10.62
47.86,6.0,262.15,Thailand,202.18,Sometimes,0.0735,Colony,306.7,2.58,2.55,97.0,10.62
49.87,4.0,303.07,Cambodia,141.67,Sheltered,0.1438,Colony,306.92,0.4,-1.49,75.0,10.62
49.88,5.0,262.15,Cambodia,63.92,Sheltered,0.0888,Colony,306.78,1.46,0.41,75.0,10.62
49.88,6.0,262.15,Cambodia,51.63,Sheltered,0.1609,Colony,306.86,1.4,1.32,75.0,10.62
48.13,8.0,302.34,Indonesia,4166.08,Sheltered,0.0743,Colony,305.67,1.37,0.51,75.0,10.62
47.9,6.0,302.04,Indonesia,39.87,Sometimes,0.0388,Colony,305.1,1.34,0.53,75.0,10.62
48.25,6.0,302.02,Indonesia,9338.61,Sheltered,0.0414,Colony,304.98,2.41,1.61,75.0,10.62
52.25,6.0,301.89,Indonesia,5051.07,Sheltered,0.2255,Colony,306.6,0.21,-0.38,75.0,10.62
47.5,6.0,302.57,Indonesia,1467.92,Exposed,0.0482,Colony,305.44,0.62,0.03,75.0,10.62
48.25,8.0,302.67,Indonesia,420.86,Sheltered,0.0363,Colony,306.3,2.17,2.14,75.0,10.62
50.49,14.0,301.9,Indonesia,1069.52,Sheltered,0.0707,Colony,305.26,0.68,0.53,75.0,10.62
48.16,8.0,301.86,Indonesia,241.55,Sheltered,0.0409,Colony,305.82,0.34,0.21,75.0,10.62
35.76,6.0,302.12,Indonesia,2479.41,Exposed,0.0412,Colony,305.49,-0.2,-0.41,75.0,10.62
48.25,6.0,302.29,Indonesia,2220.99,Sheltered,0.0408,Colony,306.32,0.89,0.75,75.0,10.62
50.49,6.0,301.9,Indonesia,458.48,Sheltered,0.0707,Colony,305.26,0.68,0.53,75.0,10.62
47.2,6.0,300.72,Indonesia,1829.95,Sheltered,0.0809,Colony,305.42,0.15,-0.74,75.0,10.62
